url,genre,domain,ads,imgratio,inlinks,wot,pageloadtime,misspelled,hyperlinks,cookie,brokenlinks,responsive,lastmod,langcount,outlinks,redirected
http://www.fullarmor.com/,Portrayl-org,com,30,0.5668647129,0,NA,118,2,"{""contact"": 0, ""email"": 0, ""sitemap"": 0, ""help"": 0}",No,1,TRUE,14/08/2017 06:52:38,1,3,http://fullarmorhapi.com/
http://www.prweb.com/releases/2014/04/prweb11762122.htm,articles,com,37,0.2527753482,0,NA,124,22,"{""contact"": 1, ""email"": 0, ""sitemap"": 0, ""help"": 0}",Yes,2,FALSE,28/07/2017 21:09:26,1,35,Field NA
http://dx.doi.org/10.1007%2F3-540-44598-6_8,other,com,+++,0.932605096,0,NA,45,18,"{""contact"": 1, ""email"": 0, ""sitemap"": 0, ""help"": 0}",Yes,46,FALSE,01/09/2017 11:34:46,1,16,https://link.springer.com/chapter/10.1007%2F3-540-44598-6_8
http://readwrite.com/2016/10/24/dyn-ddos-attack-sheds-new-light-on-the-growing-iot-problem-dl4/?utm_source=twitterfeed&utm_medium=twitter&utm_campaign=Feed%3A+readwriteweb+%28ReadWriteWeb%29,articles,com,124,0.2029121831,0,Error in binding req to urllib2,79,7,"{""contact"": 1, ""email"": 1, ""sitemap"": 0, ""help"": 0}",No,2,TRUE,22/08/2017 14:12:20,1,14,Field NA
https://www.4chan.org/news.php?all#95,articles,org,53,0.6463425748,0,"[86, 51]",47,2,"{""contact"": 1, ""email"": 0, ""sitemap"": 0, ""help"": 1}",Yes,6,Info not NA,07/09/2017 10:30:25,1,42,https://www.4chan.org/news?all
http://www.entrepreneur.com/video/248574,articles,com,30,0.6563714698,0,"[90, 49]",+++,0,"{""contact"": 0, ""email"": 0, ""sitemap"": 0, ""help"": 0}",Yes,0,FALSE,26/09/2017 13:11:43,1,28,https://www.entrepreneur.com/video/248574
https://technet.microsoft.com/en-us/library/dd883248(v=ws.10).aspx,Portrayl-org,com,115,0.7167777795,0,Error in binding req to urllib2,+++,7,"{""contact"": 1, ""email"": 0, ""sitemap"": 0, ""help"": 1}",Yes,20,TRUE,08/08/2017 17:01:39,1,61,Field NA
http://www.springframework.org/schema/beans,other,org,0,1,2,"[75, 8]",105,0,"{""contact"": 0, ""email"": 0, ""sitemap"": 0, ""help"": 0}",Yes,1,FALSE,27/08/2017 19:42:58,1,0,http://www.springframework.org/schema/beans/
https://itunes.apple.com/us/app/system-boost/id1113432947?mt=8,shop,com,28,0.1059153634,0,Error in binding req to urllib2,56,7,"{""contact"": 1, ""email"": 0, ""sitemap"": 0, ""help"": 1}",No,2,TRUE,22/08/2017 21:12:43,1,11,Field NA
http://www.bromba.com/faq/biofaqe.htm,help,com,24,1,0,"[70, 6]",93,65,"{""contact"": 1, ""email"": 0, ""sitemap"": 0, ""help"": 0}",No,10,FALSE,12/06/2016 14:46:12,1,19,Field NA
http://lacal.epfl.ch/page81774.html,articles,ch,24,1,0,"[71, 7]",37,1,"{""contact"": 1, ""email"": 1, ""sitemap"": 1, ""help"": 0}",Yes,36,TRUE,01/09/2017 13:25:50,1,16,https://lacal.epfl.ch/112bit_prime
http://www.expertreviews.co.uk/software/1295827/mcafee-security-as-a-service,articles,uk,42,0.2897280867,0,"[91, 50]",1500,6,"{""contact"": 1, ""email"": 0, ""sitemap"": 0, ""help"": 0}",No,55,TRUE,25/09/2017 07:42:19,1,33,http://www.expertreviews.co.uk/mcafee/1402049/mcafee-saas-enpoint-protection-review
http://gigaom.com/cloud/the-20-million-club-10-well-funded-cloud-startups/,shop,com,53,0.0693508766,0,NA,+++,21,"{""contact"": 1, ""email"": 0, ""sitemap"": 0, ""help"": 0}",No,7,TRUE,24/09/2017 07:15:48,1,12,https://gigaom.com/2010/10/29/the-20-million-club-10-well-funded-cloud-startups/
http://www.wikisky.org/starview?object=Andromeda+Galaxy,other,org,45,0.2109916273,0,Error in binding req to urllib2,76,62,"{""contact"": 0, ""email"": 0, ""sitemap"": 0, ""help"": 1}",Yes,138,Info not NA,09/09/2017 14:52:52,2,42,http://server3.wikisky.org/starview?object=Andromeda+Galaxy
http://www.bluering.nl/pgp/,articles,nl,0,0.0488910527,0,"[60, 2]",137,0,"{""contact"": 1, ""email"": 0, ""sitemap"": 0, ""help"": 0}",No,3,FALSE,05/09/2001 13:47:03,1,0,Field NA
http://www.prolexic.com/news/20070514-alert.php,articles,com,16,0.5192830289,0,NA,55,32,"{""contact"": 1, ""email"": 0, ""sitemap"": 0, ""help"": 0}",Yes,268,TRUE,07/09/2017 10:15:37,1,16,https://www.akamai.com/us/en/cloud-security.jsp
http://www.sans.org/reading_room/whitepapers/win2k/,other,org,37,0.0311547248,0,"[92, 48]",105,2,"{""contact"": 1, ""email"": 0, ""sitemap"": 0, ""help"": 1}",No,0,FALSE,11/08/2017 16:05:39,1,32,http://www.sans.org/reading-room/whitepapers/win2k/
http://hsgac.senate.gov/public/index.cfm?FuseAction=Files.View&FileStore_id=4ee63497-ca5b-4a4b-9bba-04b7f4cb0123,Portrayl-org,gov,47,0.1075303192,0,"[93, 26]",+++,1,"{""contact"": 1, ""email"": 0, ""sitemap"": 0, ""help"": 0}",No,3,FALSE,28/09/2017 14:25:53,1,3,https://www.hsgac.senate.gov/
https://books.google.com/books?id=LMA3dh605bgC&pg=PA3,articles,in,43,0.310515271,0,Error in binding req to urllib2,21,5,"{""contact"": 0, ""email"": 0, ""sitemap"": 0, ""help"": 0}",Yes,0,FALSE,03/09/2017 17:33:54,1,31,https://books.google.co.in/books?id=LMA3dh605bgC&pg=PA3&redir_esc=y
https://eprint.iacr.org/2011/506,articles,org,1,1,0,NA,43,2,"{""contact"": 0, ""email"": 0, ""sitemap"": 0, ""help"": 0}",No,7,FALSE,01/09/2017 14:58:12,1,0,Field NA
http://www.theverge.com/2016/10/24/13380448/ddos-dyn-attack-internet-infrastructure?utm_campaign=theverge&utm_content=entry&utm_medium=social&utm_source=twitter,articles,com,76,0.0064532226,0,Error in binding req to urllib2,+++,44,"{""contact"": 1, ""email"": 0, ""sitemap"": 0, ""help"": 0}",Yes,16,FALSE,20/08/2017 18:42:17,1,34,https://www.theverge.com/2016/10/24/13380448/ddos-dyn-attack-internet-infrastructure?utm_campaign=theverge&utm_content=entry&utm_medium=social&utm_source=twitter
http://news.bbc.co.uk/1/hi/world/americas/736719.stm,help,uk,6,0.9986009435,0,NA,191,0,"{""contact"": 0, ""email"": 1, ""sitemap"": 0, ""help"": 1}",Yes,52,FALSE,15/08/2017 10:00:14,1,3,Field NA
http://browsers.about.com/od/allaboutwebbrowsers/a/bestsecurityff.htm,articles,com,75,0.9228827453,0,"[90, 11]",49,0,"{""contact"": 1, ""email"": 1, ""sitemap"": 0, ""help"": 1}",Yes,0,FALSE,10/09/2017 09:08:30,1,4,https://www.lifewire.com/firefox-security-tips-and-tools-2487972
http://www.thebyteshow.com/,Portrayl-org,com,3,0.0364828934,0,NA,324,+++,+++,No,0,FALSE,11/12/2016 22:48:12,1,3,Field NA
http://www.hpcloud.com/blog/hp-cloud-dns-your-service/,other,com,22,0.0285714286,0,NA,+++,9,"{""contact"": 1, ""email"": 1, ""sitemap"": 0, ""help"": 0}",No,115,FALSE,26/09/2017 10:17:27,14,20,https://www.hpe.com/us/en/solutions/cloud.html
https://web.archive.org/web/20070521053106/http://www.telegraph.co.uk/news/main.jhtml?xml=/news/2007/05/19/wmaddy19.xml,articles,org,33,0.9958070597,0,Error in binding req to urllib2,41,0,"{""contact"": 0, ""email"": 1, ""sitemap"": 0, ""help"": 1}",Yes,106,FALSE,20/09/2017 11:20:00,2,4,Field NA
https://twitter.com/i/web/status/790407027319246849,articles,com,21,0.4643677174,0,"[92, 60]",24,157,"{""contact"": 0, ""email"": 0, ""sitemap"": 0, ""help"": 0}",Yes,69,FALSE,24/08/2017 10:32:07,44,13,Field NA
https://books.google.com/books?id=-s4DEy7o-a0C&pg=PA202,articles,in,43,0.1206988052,0,Error in binding req to urllib2,23,0,"{""contact"": 0, ""email"": 0, ""sitemap"": 0, ""help"": 0}",Yes,0,FALSE,01/09/2017 14:47:40,1,31,https://books.google.co.in/books?id=-s4DEy7o-a0C&pg=PA202&redir_esc=y
https://access.redhat.com/security/cve/,Portrayl-org,com,365,0.8978783715,79800,"[94, 53]",390,26,"{""contact"": 1, ""email"": 0, ""sitemap"": 0, ""help"": 1}",Yes,43,TRUE,10/08/2017 12:49:05,10,44,https://access.redhat.com/security/security-updates/
http://www.singularsecurity.com/,Portrayl-org,com,57,0.4162268447,0,"[60, 3]",129,4,"{""contact"": 1, ""email"": 1, ""sitemap"": 0, ""help"": 0}",Yes,0,TRUE,14/08/2017 07:39:50,1,5,https://www.singularsecurity.com/
https://chrome.google.com/webstore/category/extensions?_sort=1,shop,com,0,1,0,Error in binding req to urllib2,20,64,"{""contact"": 0, ""email"": 0, ""sitemap"": 0, ""help"": 0}",Yes,0,FALSE,31/08/2017 19:43:20,1,0,Field NA
https://twitter.com/i/web/status/790462277803737088,articles,com,14,0.6695143342,0,"[92, 60]",18,165,"{""contact"": 0, ""email"": 0, ""sitemap"": 0, ""help"": 0}",Yes,32,FALSE,20/08/2017 08:23:54,45,9,Field NA
http://www.wizard-industries.com/,Portrayl-org,com,24,0.0138714577,6,"[60, 2]",426,0,"{""contact"": 1, ""email"": 0, ""sitemap"": 0, ""help"": 0}",Yes,0,FALSE,13/08/2017 08:19:31,1,1,Field NA
https://web.archive.org/web/20071118135436/http://www.sia.com/capitol_hill/html/securities_regulation.html,other,org,22,1,0,"[60, 2]",+++,0,"{""contact"": 0, ""email"": 0, ""sitemap"": 0, ""help"": 1}",No,20,FALSE,31/08/2017 13:14:18,1,4,Field NA
http://www.theverge.com/2016/10/21/13362354/dyn-dns-ddos-attack-cause-outage-status-explained,articles,com,73,0.008776152,0,NA,47,25,"{""contact"": 1, ""email"": 0, ""sitemap"": 0, ""help"": 0}",Yes,12,FALSE,19/08/2017 21:35:35,1,21,https://www.theverge.com/2016/10/21/13362354/dyn-dns-ddos-attack-cause-outage-status-explained
